City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,selkirk,50.1436,-96.8845,27.28,79,100,5.99,CA,1690329598
146,invercargill,-46.4,168.35,7.86,76,54,5.8,NZ,1690329598
147,merizo village,13.2658,144.6691,28.85,88,100,8.48,GU,1690329598
148,wailua homesteads,22.0669,-159.378,29.24,78,76,2.68,US,1690329599
149,san borja,-14.8167,-66.85,23.59,68,35,0.43,BO,1690329599
150,malango,-2.9627,119.9001,20.77,79,23,0.43,ID,1690329599
151,antofagasta,-23.65,-70.4,16.6,84,55,1.71,CL,1690329599
152,morant bay,17.8815,-76.4093,30.79,81,28,3.25,JM,1690329599
153,la foa,-21.7108,165.8276,21.72,48,11,8.03,NC,1690329599
154,chonchi,-42.6128,-73.8092,8.56,96,56,1.44,CL,1690329599
155,adrar,20.5022,-10.0711,37.2,18,92,1.34,MR,1690329600
156,pisco,-13.7,-76.2167,20.03,73,0,8.23,PE,1690329600
157,vyyezdnoye,55.3815,43.7864,15.59,96,99,2.65,RU,1690329600
158,hermanus,-34.4187,19.2345,8.78,60,33,2.97,ZA,1690329459
159,nizhnesortymskiy,62.4397,71.7603,15.81,97,96,1.28,RU,1690329601
160,ponta delgada,37.7333,-25.6667,21.4,83,40,1.03,PT,1690329603
161,sayre,41.979,-76.5155,24.54,84,73,1.39,US,1690329604
162,inarajan village,13.2736,144.7484,29.08,88,100,8.68,GU,1690329607
163,nyagan,62.1406,65.3936,15.72,97,100,1.8,RU,1690329609
164,severo-yeniseyskiy,60.3725,93.0408,17.08,90,75,0.26,RU,1690329610
165,revda,56.801,59.9303,14.99,72,100,1.37,RU,1690329611
166,jamestown,42.097,-79.2353,23.73,78,0,1.54,US,1690329528
167,alice springs,-23.7,133.8833,10.75,54,4,0.0,AU,1690329611
168,geneina,13.45,22.45,26.62,60,88,4.73,SD,1690329617
169,kingston,17.997,-76.7936,30.53,78,20,9.26,JM,1690329577
170,buala,-8.145,159.5921,28.68,75,92,3.44,SB,1690329617
171,blackfoot,43.1905,-112.345,35.03,9,0,7.58,US,1690329617
172,amahai,-3.3333,128.9167,27.78,91,100,2.93,ID,1690329618
173,kidal,18.4411,1.4078,33.91,36,37,3.41,ML,1690329619
174,ciudad constitucion,25.0369,-111.6644,33.37,31,36,6.83,MX,1690329621
175,eyl,7.9803,49.8164,25.08,72,5,11.51,SO,1690329622
176,zhosaly,45.4878,64.0781,30.03,26,26,7.18,KZ,1690329623
177,tvoroyri,61.5556,-6.8111,9.87,88,97,3.03,FO,1690329625
178,san clemente del tuyu,-36.3569,-56.7235,11.66,91,100,6.98,AR,1690329626
179,bairnsdale,-37.8333,147.6167,11.85,58,11,1.3,AU,1690329585
180,kill devil hills,36.0307,-75.676,29.43,75,0,3.6,US,1690329627
181,nemuro,43.3236,145.575,15.67,100,100,1.23,JP,1690329628
182,roswell,34.0232,-84.3616,32.62,59,0,3.6,US,1690329573
183,mogocha,53.7333,119.7667,19.83,79,26,0.93,RU,1690329628
184,udachny,66.4167,112.4,18.25,50,98,5.8,RU,1690329628
185,las tablas,7.7667,-80.2833,25.77,89,100,2.61,PA,1690329629
186,grafing bei munchen,48.046,11.968,13.14,93,100,5.62,DE,1690329629
187,marolambo,-20.05,48.1167,14.81,98,34,1.36,MG,1690329629
188,spring creek,40.7266,-115.5859,32.83,14,3,5.08,US,1690329564
189,kenai,60.5544,-151.2583,17.05,89,100,3.09,US,1690329629
190,inhambane,-23.865,35.3833,14.02,81,8,1.45,MZ,1690329630
191,arraial do cabo,-22.9661,-42.0278,21.61,90,0,10.51,BR,1690329540
192,tolanaro,-25.0319,46.9987,18.04,72,20,3.09,MG,1690329630
193,tamanrasset,22.785,5.5228,27.95,13,0,2.06,DZ,1690329631
194,argo,37.6333,22.7333,30.67,29,0,4.07,GR,1690329631
195,gdov,58.7406,27.8122,15.93,92,76,6.58,RU,1690329631
196,crane,31.3974,-102.3501,35.92,19,46,7.91,US,1690329632
197,vorgashor,67.5833,63.95,16.21,80,100,3.13,RU,1690329632
198,vadso,70.0744,29.7487,9.49,93,100,3.6,NO,1690329632
199,shache,38.4167,77.2406,24.28,47,20,3.44,CN,1690329633
200,verkhnevilyuysk,63.4453,120.3167,19.37,46,80,3.22,RU,1690329633
